url,numTrackers,trackerRisk,metadataRisk,externalOgImage,finalScore,privacyLabel
https://google.com,4,0,0,False,0,Low
https://chatgpt.com,2,5.0,0,True,5.0,Low
https://linkedin.com,16,47279.07,0,False,47279.07,High
https://youtube.com,11,17.32,0,True,17.32,Low
https://github.com,3,5,0,True,5,Low
https://theomthakur.github.io/portfolio/,2,17.32,0,True,17.32,Low
https://stackoverflow.com,22,8391.29,0,True,8391.29,High
https://developer.mozilla.org,2,5,0,True,5,Low
https://w3schools.com,7,5,0,True,5,Low
https://bestbuy.com,4,0,0,False,0,Low
https://netflix.com,19,0,0,False,0,Low
https://theguardian.com,7,0,0,False,0,Low
https://ads-heavy.com,22,34000.12,15,True,34015.12,High
https://trackingmonster.com,19,30012.99,10,True,30022.99,High
https://spyads.io,17,23000.00,20,True,23020.00,High
https://mildtrackers.com,7,25,30,True,55,Medium
https://adpush.net,6,20,40,True,60,Medium
https://moderatecookies.org,4,18,25,True,43,Medium
https://semiaggressive.net,5,35,25,True,60,Medium
